product_name,MAE_Prophet,MAE_LSTM,RMSE_Prophet,RMSE_LSTM,MAPE_Prophet,Accuracy_Prophet(%),MAPE_LSTM,Accuracy_LSTM(%),Best_Model
Blanket,76.73,35.79,78.34,37.54,99.08,0.92,45.17,54.83,LSTM
Waterproof Boots,78.34,50.86,83.67,53.49,88.52,11.48,58.06,41.94,LSTM
Rakhi Thread,69.75,22.01,78.28,32.97,92.87,7.13,19.71,80.29,LSTM
Sweet Box,78.11,59.44,79.67,62.09,89.17,10.83,65.42,34.58,LSTM
Gift Boxes,38.47,64.28,45.36,70.33,39.32,60.68,55.96,44.04,Prophet
Sweater,54.52,65.84,56.21,67.24,47.52,52.48,57.59,42.41,Prophet
Raincoat,12.3,80.42,13.2,82.53,10.54,89.46,68.08,31.92,Prophet
Modak Box,27.95,42.88,36.56,46.34,36.44,63.56,62.86,37.14,Prophet
Cold Drink,25.62,31.52,38.69,38.47,24.5,75.5,33.34,66.66,Prophet
Gift Box,48.75,50.27,55.87,56.61,48.9,51.1,51.21,48.79,Prophet
Lip Balm,35.08,34.25,45.99,36.35,32.83,67.17,47.42,52.58,LSTM
Water Gun (Pichkari),90.86,47.41,93.37,51.32,94.83,5.17,47.81,52.19,LSTM
Fruit Cake,87.05,99.72,87.69,99.96,68.49,31.51,78.6,21.4,Prophet
Chocolate Box,18.93,58.77,22.31,63.96,15.83,84.17,49.81,50.19,Prophet
Kurta Pajama Set,66.95,85.88,79.3,86.42,59.01,40.99,73.86,26.14,Prophet
White Clothing,57.65,62.31,63.33,69.94,55.4,44.6,58.67,41.33,Prophet
Banana Chips Pack,39.04,67.72,41.31,69.04,35.37,64.63,61.87,38.13,Prophet
Fan,67.95,72.37,72.23,75.37,62.99,37.01,68.33,31.67,Prophet
Water Bottle,42.04,81.11,46.83,84.61,43.76,56.24,91.87,8.13,Prophet
Santa Hat,91.88,60.33,95.64,62.02,104.92,-4.92,69.49,30.51,LSTM
Rangoli Colors,89.15,48.97,91.38,56.07,98.0,2.0,48.06,51.94,LSTM
Personal Care Kit,47.25,34.42,62.06,43.83,44.35,55.65,30.68,69.32,LSTM
Odomos (mosquito repellent),95.65,84.67,97.83,89.46,89.07,10.93,75.88,24.12,LSTM
LED String Lights,77.54,147.7,81.68,148.86,60.2,39.8,118.59,-18.59,Prophet
Gift Wrapping Paper,52.54,57.8,53.26,60.25,54.55,45.45,57.57,42.43,Prophet
Dry Fruits,36.58,42.23,45.96,52.97,44.53,55.47,44.47,55.53,Prophet
Decorative Wreath,65.61,44.95,77.87,53.33,64.73,35.27,44.9,55.1,LSTM
Sewaiya Packets,70.12,88.05,76.1,100.39,65.48,34.52,61.84,38.16,Prophet
Diyas (Clay Lamps),41.69,68.97,51.83,73.46,34.84,65.16,64.71,35.29,Prophet
Body Oil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mosquito Net,71.48,87.1,75.06,92.15,62.3,37.7,74.19,25.81,Prophet
Perfume Bottles,44.65,69.99,50.42,74.03,41.53,58.47,68.95,31.05,Prophet
Mithai Box,59.43,61.46,62.95,71.34,70.52,29.48,54.81,45.19,Prophet
Flower Garland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scarf,94.46,64.84,99.46,73.02,99.61,0.39,62.19,37.81,LSTM
Brass Pot,115.78,84.06,118.21,89.72,110.2,-10.2,76.86,23.14,LSTM
Air Conditioner (AC),45.34,52.34,47.58,52.76,46.6,53.4,53.88,46.12,Prophet
Ganesh Idol,101.16,86.3,105.04,92.07,94.93,5.07,78.27,21.73,LSTM
Traditional Dhoti,100.55,56.1,102.51,57.6,99.03,0.97,54.81,45.19,LSTM
Sunscreen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chocolate Gift Boxes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
White Kurtas,79.05,71.23,84.43,73.22,67.58,32.42,62.02,37.98,LSTM
Agarbatti (Incense),88.79,65.48,92.24,74.36,78.7,21.3,53.22,46.78,LSTM
Thermals,59.41,54.7,69.78,64.6,71.88,28.12,65.53,34.47,LSTM
Deodorant (Dio),80.16,70.38,88.92,74.16,69.47,30.53,62.67,37.33,LSTM
Holi Colors,53.21,102.72,62.64,106.46,41.14,58.86,86.8,13.2,Prophet
Ice Cream,65.18,65.12,73.12,67.85,61.31,38.69,61.08,38.92,LSTM
Sugarcane Stick,60.68,76.56,64.58,78.35,53.22,46.78,68.3,31.7,Prophet
Umbrella,80.53,48.41,80.61,50.54,96.75,3.25,55.23,44.77,LSTM
Onam Sadya Kit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dry Fruits Box,51.22,49.93,62.75,57.91,48.7,51.3,45.83,54.17,LSTM
Hot Water Bag,42.77,82.29,58.25,90.48,46.55,53.45,83.93,16.07,Prophet
Pongal Sweet Pack,157.0,97.02,157.27,97.59,119.01,-19.01,73.06,26.94,LSTM
Electric Lights,73.93,89.33,75.56,90.81,60.88,39.12,73.44,26.56,Prophet
